åé,ì˙,éû,ãCâ∑,ê‚ëŒéºìx,êÑíËì˙éÀó ,â∫å¸Ç´ëÂãCï˙éÀ,ìÏñkïó,ìåêºïó,ãCà≥,ç~êÖó ,ïóë¨,ïóå¸,ëæózçÇìx,ëæózï˚à ,ñ@ê¸ñ íºíBì˙éÀó ,êÖïΩñ ìVãÛì˙éÀó ,ñÈä‘ï˙éÀ
1,4,0,4.145459,3.840697,0.000000,1.003252,-0.352796,0.785022,100216.156495,0.000000,0.860275,292.500000,-75.234097,327.845057,0.000000,0.000000,0.203607
1,4,1,3.689504,3.828282,0.000000,0.989639,-0.354209,0.506604,100151.941357,0.000000,0.608687,315.000000,-76.086606,60.495630,0.000000,0.000000,0.209302
1,4,2,3.305490,3.872039,0.000000,0.977149,0.419613,0.380870,100067.719454,0.000000,0.566027,225.000000,-67.601978,61.549877,0.000000,0.000000,0.215154
1,4,3,3.110388,3.795156,0.000000,0.974767,-0.086558,1.010542,100147.882895,0.000000,1.010542,270.000000,-56.079625,78.432994,0.000000,0.000000,0.214174
1,4,4,3.095089,3.852409,0.000000,0.972738,0.183614,0.932338,100173.729243,0.000000,0.932338,270.000000,-43.899991,88.816629,0.000000,0.000000,0.215938
1,4,5,2.727910,3.928896,0.000000,0.955888,-0.385209,0.728592,100173.782031,0.000000,0.820545,292.500000,-31.655899,97.022793,0.000000,0.000000,0.226481
1,4,6,2.647757,4.006693,0.000000,0.947388,0.017050,0.822045,100152.128822,0.000000,0.822045,270.000000,-19.609785,104.589355,0.000000,0.000000,0.233608
1,4,7,2.650568,4.047237,0.000000,0.949671,-0.644944,0.801659,100157.197264,0.000000,1.022903,315.000000,-7.973829,112.302446,0.000000,0.000000,0.231373
1,4,8,3.352321,4.127871,0.108188,0.959283,-0.408941,1.093336,100153.951534,0.000000,1.166606,292.500000,3.004081,120.733470,0.339884,0.090376,0.233828
1,4,9,5.156896,4.264586,0.424154,1.018797,-0.464328,1.324303,100203.090092,0.000000,1.401187,292.500000,12.986048,130.410481,0.380955,0.338548,0.205767
1,4,10,6.749838,4.368208,0.589542,1.085981,-0.680360,1.541140,100158.863747,0.015451,1.684190,292.500000,21.496142,141.834258,0.032200,0.577743,0.166861
1,4,11,8.003460,4.537067,0.770574,1.098833,-1.600268,0.366712,100100.255565,0.009795,1.618789,337.500000,27.901361,155.326180,0.059209,0.742867,0.176605
1,4,12,8.121818,4.324424,1.023318,1.122773,-2.173408,0.356556,100067.747000,0.028607,2.173408,360.000000,31.495765,170.682660,0.280667,0.876688,0.154814
1,4,13,7.969658,3.969619,1.148040,1.107567,-3.334262,0.456677,100070.594360,0.035012,3.334262,360.000000,31.756145,186.891817,0.260195,1.011098,0.167257
1,4,14,7.444867,3.638552,1.101758,1.063800,-3.882162,-0.068976,100114.677042,0.028520,3.882162,0.000000,28.640204,202.461369,0.341915,0.937875,0.201532
1,4,15,6.742279,3.466156,0.958206,1.049152,-3.668449,0.080331,100161.275792,0.006491,3.668449,360.000000,22.614538,216.265947,0.866825,0.624886,0.203555
1,4,16,5.761260,3.358876,0.596315,1.025116,-3.726132,-0.061685,100181.267972,0.011389,3.726132,0.000000,14.377911,227.989318,1.003690,0.347082,0.210119
1,4,17,4.651385,3.258246,0.145042,0.961668,-2.633968,0.003522,100345.660478,0.009795,2.633968,360.000000,4.583576,237.899440,0.461018,0.108201,0.254023
1,4,18,4.114253,3.245299,0.000000,0.941250,-1.741035,-0.084929,100394.127375,0.001594,1.741035,0.000000,-6.268621,246.484778,0.000000,0.000000,0.265066
1,4,19,3.577751,3.180195,0.000000,0.909888,-1.485335,-0.421829,100379.158982,0.000000,1.533697,22.500000,-17.822817,254.271696,0.000000,0.000000,0.287118
1,4,20,3.036850,3.059665,0.000000,0.860777,-1.136239,-0.504118,100403.374301,0.000000,1.242666,22.500000,-29.820837,261.818601,0.000000,0.000000,0.326898
1,4,21,2.506859,3.047442,0.000000,0.850766,-1.092258,-0.206189,100504.398871,0.000000,1.092258,0.000000,-42.049152,269.859003,0.000000,0.000000,0.327818
